hour,platform,theme,avg_query_share_in_platform_day_hour
11,desktop,Поздравления и праздники,0.005404761904761905
12,desktop,Поздравления и праздники,0.0044714285714285715
13,desktop,Поздравления и праздники,0.004052380952380953
14,desktop,Поздравления и праздники,0.004076190476190476
15,desktop,Поздравления и праздники,0.0034333333333333334
16,desktop,Поздравления и праздники,0.0034857142857142856
17,desktop,Поздравления и праздники,0.0027666666666666664
18,desktop,Поздравления и праздники,0.0032333333333333333
19,desktop,Поздравления и праздники,0.0031809523809523807
20,desktop,Поздравления и праздники,0.0029476190476190474
21,desktop,Поздравления и праздники,0.0027238095238095237
22,desktop,Поздравления и праздники,0.0021904761904761906
23,desktop,Поздравления и праздники,0.0012809523809523809
0,touch,Поздравления и праздники,0.002961904761904762
1,touch,Поздравления и праздники,0.0025571428571428572
2,touch,Поздравления и праздники,0.0031047619047619044
3,touch,Поздравления и праздники,0.004814285714285714
4,touch,Поздравления и праздники,0.007204761904761904
5,touch,Поздравления и праздники,0.011333333333333332
6,touch,Поздравления и праздники,0.019404761904761904
7,touch,Поздравления и праздники,0.027719047619047622
8,touch,Поздравления и праздники,0.03615238095238095
9,touch,Поздравления и праздники,0.03239047619047619
10,touch,Поздравления и праздники,0.025357142857142856
11,touch,Поздравления и праздники,0.015885714285714288
12,touch,Поздравления и праздники,0.013038095238095238
13,touch,Поздравления и праздники,0.010028571428571428
14,touch,Поздравления и праздники,0.00939047619047619
15,touch,Поздравления и праздники,0.008366666666666666
16,touch,Поздравления и праздники,0.007714285714285714
17,touch,Поздравления и праздники,0.007533333333333334
18,touch,Поздравления и праздники,0.007709523809523809
19,touch,Поздравления и праздники,0.007309523809523809
20,touch,Поздравления и праздники,0.008242857142857144
21,touch,Поздравления и праздники,0.007485714285714286
22,touch,Поздравления и праздники,0.005666666666666666
23,touch,Поздравления и праздники,0.0030571428571428577
0,desktop,"Покупки, стиль и бренды",0.00092
1,desktop,"Покупки, стиль и бренды",0.00075
2,desktop,"Покупки, стиль и бренды",0.00039999999999999996
3,desktop,"Покупки, стиль и бренды",0.0004333333333333333
4,desktop,"Покупки, стиль и бренды",0.0005066666666666667
5,desktop,"Покупки, стиль и бренды",0.0006000000000000001
6,desktop,"Покупки, стиль и бренды",0.0009285714285714286
7,desktop,"Покупки, стиль и бренды",0.00107
8,desktop,"Покупки, стиль и бренды",0.0017428571428571428
9,desktop,"Покупки, стиль и бренды",0.002352380952380952
